author_id,text,cEXT,cNEU,cAGR,cCON,cOPN,label
02c37028a782cfda660c7243e45244bb,"Supervisor: *PROPNAME* (second preference) Research Area: Regional Economic Integration (fifth prefernece)   || cartography+Select. Topics in the Geography of China     (????F?add?...) || Tentative Examination Schedule, Semester 1, 2009//10. .",low,high,low,low,low,01000
03133a828cd0cf52e3752813ce5d818f,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this month. Not bad...and to clarify *PROPNAME* is a Crossfit workout, *PROPNAME* get your head out of the gutter || Feels aweful right now. Why do you get sick like this on weekends only... I better not have to use a sick day tomorrow or I will be pissed. || Did Cindy 30 times in 20 minutes and GI jane in 12:11. Save the sex joke, its Crossfit. 2010 crossfit games here I come!!!! || Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this week. Life is good || Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this month. Not bad",high,high,low,high,low,11010
03e6c4eca4269c183fa0e1780f73faba,"""In awe I watched the waxing moon ride across the zenith of the heavens like an ambered chariot towards the ebony void of infinite space wherein the tethered belts of Jupiter and Mars hang forever festooned in their orbital majesty. And as I looked at all || ""Parents spend the first part of our lives teaching us to walk and talk, and the rest of it telling us to sit down and shut up."" XD || podkanva vseki, koito ima da i prashta snimki ot razlichni meropriyatiya, da go stori v skype vuzmojno nai-skoro... ^^ :P || ""Ah, *PROPNAME*. The eyes are open, the mouth moves, but *PROPNAME* has long since departed."" ~ *PROPNAME* XD XD || ""I refuse to answer that question on the grounds that I don't know the answer."" ~ *PROPNAME* XD || ""Arguments are to be avoided; they are always vulgar and often convincing."" ~ Oscar Wilde xD || ""Death and famine stalk the land like two great stalking things."" ~ *PROPNAME* || ""Those who criticize our generation forget who raised it.""",low,high,high,high,high,01111
06b055f8e2bca96496514891057913c3,"can't believe that her son walked up to the Christmas tree stating 'J'. I was a little confused until he took a candy cane off the tree and proceeded to turn it upside down :-D || So...apparently, according to urban dictionary...A women named *PROPNAME* is typically very beautiful with an incredible body and nice eyes. They are known to be very loveable. *PROPNAME* are envied by other women...haha...I wish! || got home from shopping all evening (*PROPNAME* and kids in tow) and then wrapped presents all night...and it still isnt finished...*yawn* || I did the Macarena with a pickle at the dinner table because the voices told me to. || is enjoying the cricket...comfy boxers and rainy weather...is it too soon for a beer? || had a great day yesterday thanks to aunties babysitting :0) || is enjoying the cricket but has no fingernails left. || needs beer...actually, any kind of alcohol will do... || So...*PROPNAME* can now count backwards from 10 :-) || is sick of being sick! || would like the rain back!",low,low,low,high,low,00010
0724fe854bd455061ba84efecdeff469,"I want to reconcile the violence in your heart! I want to recognise your beauty is not just a mask! I want to exorcise the demons from your past! I want to satisfy the undisclosed desires in your heart! (Gracias a Sofi por la canción tan genial!) || Life truly has special ways to show us what we need... in the weirdest moments////f i n a l f a n t a s y////""I know. I'm not alone... not anymore."" || Que es lo que en realidad se debe de hacer? Lo que el corazón dicta o lo que la razon te dice? || Es momento de aprender a dejar ir las cosas. Por favor, que aquella luz, guía mía, me lleve a los lugares indicados. || Por favor, que las cosas mejoren! Si es que en verdad alguien puede ayudar, que le otorguen lo que necesita! || Hay veces en las que simplemente quisiera olvidarme de todo y refugiarme en la profundidad de mi mente... || Cuando la vida misma te ha puesto en un aprieto, ¿qué es lo que se debe hacer? || Getting ready for the fun! Escapada espiritual al corazón del oráculo... Riviera Maya! Meus somnierum! || Oscilando entre la infinidad de la mente y la infinidad del sueño... || It's time I fire up this life I'm livin' in! || Meus somnerium... En busca de un pequeño momento de comprensión... || I just... Don't know what to think anymore... || De vuelta al mundo interno sin límites! || Back to the routine, then...",low,high,low,high,high,01011
0737e4e4980f56c9fb1cb5743001c917,"wants to take a trip through Tunisia, Egypt, Greece, Turkey, Lebanon, Israel, Jordan, Bhutan, Kazakhstan, Xinjiang (China), Mongolia, and end up in Shanghai to see old friends and maybe throw in Hainan for some beachy fun...ok magic travel fairy do your t || wonders how I keep getting convinced to make cupcakes...making mini vegan version of my bombay elvis cupcakes and trying out a mini red velvet and cream cheese with cabernet some how mixed in...I'll figure it out || can only take so much shopping, drinking, going out to dinners, hanging out,playing with babies, and flying to random cities...hurry up half marathon, as soon as you're over I get to do some real travel... || has been watching a ton of disney movies instead of getting anything done...on that note, Aladdin is still my favorite in terms of songs and I <3 how all the female characters are so headstrong || is becoming sentimental as I work on the notes for my novel...""if you're friends with __ you must either be gorgeous or brilliant and from our conversation I must say it's both."" || is excited for an old fashion cocktail party tonight, time to pull out my old fave, vodka gimlets, throw on some pearls and channel *PROPNAME* to go with the short hair. || went on a 5 hour trek from my apartment in North Beach along the water front, over the Golden Gate Bridge to Marin and back again...needless to say I'm resting tonight || Go to urbandictionary.com and look up your first name using their search engine. Copy this in your status and what Urban Dictionary says about your name in the first comment. || sometimes I can't believe this is my life :)...tomorrow I'm exploring my neighborhood, North Beach, anyone want to join me for breakfast at Mama's at Washington Square Park? || had everything go wrong for dinner tonight but ended up exactly where I needed to be for yet another job prospect even though I wasn't looking for one. || just turned down a series of paid ads for 944 and a Motocross ad all because I won't be around for February...lol, but what a nice ego boost || opened up a bottle of cava because I wanted a mimosa with my dinner...now I just realized I kind of have to finish the bottle myself...uh oh || You do not merely want to be considered just the best of the best. You want to be considered the only ones who do what you do || s landlord brought someone to do work on my apartment and he totally recognized my place from tv...lol, I guess that's more of my 15 minutes...<3 || is creeped out...the owner of a new restaurant by my office offered me lunch and then followed me into Walgreens while I was running errands. || wonders if it's a better idea to stay home and not celebrate Hemingway's birthday with free absinthe drinks since I think I'm getting sick :( || might have to trade in bastille day celebrations for a nice quiet night in my apartment...if anyone wants to hang tonight let me know. || just wants to bake yummy treats, write, learn languages, travel, organize philanthropical events, and debate philosophy over bottles of wine...that is my ideal life. || ran, did hill work, yoga, juiced, made an egg white and spinach omelette, and payed my bills...love getting so much done before work :) || spent all weekend looking for flats but ended up buying three pairs of hot looking heels...I really, really tried this time :( || taking this from my brother's status:  If a con is the opposite of pro... does that make congress the opposite of progress? || is switching back to my 510 phone number and dropping the 415, send me a note if you don't have the number. || alright doppleganger, I used to get the most random ones...but I think *PROPNAME* was the only one that made some sense. || is sad the wood furniture making class is full...small business, voice, and either beginning principles of fashion design or beginning theatre? || wants to watch *PROPNAME* & *PROPNAME* minus the *PROPNAME* portion...what a way to satisfy both the francophile and foodie in me || is wondering if I have enough room in my passport for this trip...do I have enough time to get pages added? || wonders, if we only surround ourselves with good people does that mean we lose the opportunity to understand the negative? || just booked tickets to New York October 29th thru Nov 3rd, who wants to join me for Halloween in NYC? || had a dream last night that I was opening up a shop and booking a last minute trip to shanghai || is super stoked to be THAT much closer to getting to volunteer at one of my fave nonprofits in SF!!!!! || running in the rain then making my ""red wine and cheese pairing"" cupcake and working on a business outline || is tempted to skip my voice class today, go home, and make myself some udon or soon tofu stew || Tell             me and I'll forget,            show me and I may remember, involve me and I will understand. -- Confucius || is thinking a trip to Shanghai is long over due...lil' Shanghai is all growns up since I left it! || really wants to take French and Arabic but then I really won't have any free time in the fall || anyone want to sublease my pretty North Beach studio so I can spend the rest of my life traveling? || no matter how long I've been out of high school I'll always fall victim to the Mission ""curse"" || just needs to keep reminding myself it's only for one more month...I so need a relaxing run tonight || stupid t-mobile commercial being filmed in SF today...totally reminding me how much I miss jumping out of planes. || packing, packing, packing...trying to fit everything for a month long trip into a tiny carry-on...can I do it? || would rather have too many dreams and reach half of them then not enough dreams to reach for. || is having yummy food tomorrow instead of voice class...I'll probably pay for this once midterm recitals come around... || kind of likes getting up early and getting more done in my morning than I would otherwise || wishes someone else would take my next profile picture, I feel they're all looking the same now. || <3's united's frequent flyer miles sale...I have enough miles to fly anywhere except Australia...hmm, where to go? || has the Camino De Santiago on my mind again...the effects of receiving emails from my Spaniard friends. || made my bombay elvis cupcakes(chocolate curry and banana cupcakes with peanut butter frosting) and chocolate bacon cupcakes || is excited to have convinced just about everyone in the office to go to happy hour tonight! || just made vegan cayenne cupcakes filled with salted caramel sauce and drizzled with lavender icing...from scratch! || is finishing up my last day at work...I'm going to miss my lil' SF AOL family",low,low,high,low,high,00101
0abd57182992dd9167b88b198350afe4,"Goals for the next 11 months: (1) Rock the fuck out of the LSAT (2) Run under 3 in the marathon (3) Get into a baller law school (4) Buy a BMW Z4 (5) Laos, Vietnam, Cambodia anyone??? || This year, and especially fall has definitely established a theme for itself. Seriously Higher Being, watching a dark comedy may be fun for you, but I can assure you that living it is an entirely opposite experience. || ""We Americans think you have to accomplish everything quickly. We're the country of thirty-minute lunches and two-minute football drill...[we need to] slow down and make building relationships as important as building projects.""  --*PROPNAME* || ""Sit back and curiously observe the ride. You're not going to enjoy it, but it is going to take you somewhere."" --Me under the inspiration of some lost muse. || Had a ridiculous time in Holland with his boys *PROPNAME* and *PROPNAME*. Now he needs some shoes, some finances and a hike up the highest mountain in Poland. || 38 miles last week, more this week, lifting despite the soar screeches on my muscles. My body hates me right now... || ""Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment."" --Buddha || Found a feather sticking out of his Wendy's chicken nugget....at least now we know it's made from a bird right? || It might be time for one last great adventure, a minimum 13 hour plane ride away. || ""Oh my God dude, doing 5 tomorrow is going to feel like sex!"" --*PROPNAME* || Driving to nowhere. Accompanied only by the pitter-patters of rain on my windshield. || I declare myself a mercenary. Have a job? I'll get it done. || I guess there's still some hope. A stranger helped me out today. || My new philosophy: study and get ripped. Fuck everything and everyone else. || The love of my life: repeat 800s on a sunny day. || A little tanner, great times, and now very current on hip-hop. || Going running down a trail of bright oranges and yellows. || Saw a shooting star on number seven of eight 800s. || In a cafe...again, doin what I always do. || Thanks for the support guys! We did it. || There's just something about those cold winter nights. || Thanks for all the birthday love everyone! || Was stuck between reality and a dream...unpleasant. || Marathon in a few days O_O. || Is going back to the homeland || My cat squeaks when he stretches. || Pop Rocks are the shit.",high,low,low,high,high,10011
0bfa3d952ffed50f25011b128e73a820,"wonders whether anyone's ever done an etymological history of onomatopoeia.  Why did ""oink"" become so popular when most pigs I've seen go ""reeee""?  Why did ""fap"" become so popular?  Is it accuracy or something else?  A most interesting question...  Any linguistics majors in need of a paper topic? || You can ask me one question (Send it to my inbox). Any question- anything. No matter how awkward it can be I'll answer it honestly, no catch. But, I dare you to put this as your status and see what people ask you.  (I can't resist dares...) || Dear Online Dictionary Makers, Let people search the text of the entries, not just the entry words.  Make your dictionaries more like a human brain.  Let me search ""make things the same"" and find words that include those words in their definitions.  That would rock. Love, *PROPNAME* || Holy crap!  Hiero II of Syracuse was a former general of Pyrrhus of Epirus!  I never knew that!  Hiero has the official title of Awesomest Friendhaver in the Ancient World now, so far as I'm concerned.  Pyrrhus and Archimedes, at least!  Go Hiero!  You're MY hero! || finds fiction much more interesting when you imagine the same actors and voice actors to be the same people instead of different characters.  Holy crap, *PROPNAME*'s father is Liquid Snake!  Hey look, Obi-Wan Kenobi is helping Don Quixote liberate the Arabs in WWI! || is starting to wonder whether his eyes reflect light in the near-infrared spectrum or something that's just out of sight for humans but visible to cameras, cuz man, if I only had photos to go by I would swear my eyes are red. || Well crap.  My computer's software is currently corrupted or something and won't work.  Right before my two Hell Weeks begin.  Wheeee...  Anyone in Chicago have a copy of their Windows XP Professional edition CD I can borrow to reinstall stuff? || Dear everyone: crack open a dictionary and start using ""hypothesis"" and ""theory"" correctly from now on.  It's not that hard, and misusing the word confuses stupid people to whom I then need to listen, which makes me sad.  : ( || just got his mind blown.  Apparently *PROPNAME* from Salute Your Shorts, the rich girl, was played by a Chinese-American actress.  I totally never noticed that.  Ever.  Thank you, www.tvtropes.org for once again, showing that I have a terrible memory. || is impressed that the ads on the side of FB are getting relevant without being offensively so...finally.  I've got an ad for a book I like, a band I like, and a movie by an animator I like.  Yay! || wants to see a version of that *PROPNAME* story ""Gift of the Magi"" where one of the people receives a Bible, only to inform their friend that they sold their soul to Satan to buy them their gift. || gave up on being a productive member of society when he left engineering, OK Social Sciences?  Just let me write about cool people.  I don't want to think about how my topic benefits anyone. || Is off to see *PROPNAME* and *PROPNAME*!  And I got an awesome gift in the mail today!  And I learned how to construct a book wheel.  Today is just, like, mega-awesome! || remembers a time when he was able to easily find classes because the school actually had its shit together and managed to have a central location with all the course descriptions. || is sick of starting letters with ""dear.""  My friends are more than dear, I'm using different adjectives from now on.  ""Anti-Establishment *PROPNAME*, how are you?  Signed, *PROPNAME*.""  Screw you, convention! || dreads his mortality as he walks the empty aisles of a library, admiring the volumes, yet knowing his life will never last long enough for him to enjoy them all. || HAL is alive once again!  Just in time for 2010, conveniently enough.  Not sure if I'm gonna keep him, cuz he's now missing MS Word, but eh, he has internet. || associates Russian classical composers with Christmas, for some reason.  Not just the Nutcracker stuff, either.  It's a bit odd...  Especially since everyone knows Santa lives in Finland, not Russia. || Alright Holst, listen up.  I'm going to see your music tomorrow and I don't want anything supernatural to prevent it, got it?  I'm sick of your crap. || has finally ended orientation!  That was fast...  Perspectives in Social Science, Historical Methods, and Early Modern England will be my classes this quarter, it seems. || has the same Spring Break as *PROPNAME*!  If any Cornellians want a super awesome place to visit during their Spring Break, keep Chicago in mind... || The Portuguese pronounce X like SH?  Damnit, is it THEIR fault Romanized Chinese does the same?  I always wondered who to blame for that. || wants to thank the Tabasco company for listing the Scoville Heat Units of its products, and thinks all spicy food makers should follow suit. || recently realized there's a large whole in his theoretical structure of life.  It may be a few interations before he has a working solution. || Holy mother microfilm is a bitch on the eyes.  Dear 1890, learn to write normal Ms and Ns.  Yours look like Ws and Us. || wishes a Happy Valentine's Day to all those for whom he cares!  I hope all my friends know how much they mean to me! || Holy Crap!  *PROPNAME*'s has a rewards program that lets you get a free chocolate from the store every month!  How awesome is that? || Holy crap this is hilarious: http:////www.standforchristmas.com//pages//home Just read these reviews.  What bigoted morons think like this?  Read the ""Offensive"" ones.  They're the best. || thinks he'll start a Prussia-style diary, and this status update will remind him of his choice until he finally acts upon it. || is thankful for all his wonderful friends!  Happy Thanksgiving, everyone!  I wish I could spend it with every one of you. || had a dream come true!  Last night I dreamt about eating a cinnamon bun, and today I ate a cinnamon bun! || First day of classes for a new quarter!  I hope no suddenly loud girls give me coronary thrombosis like last quarter... || has chourico!  The tastiest, most delicious meat known to mankind!  And I'm going to eat the crap out of it! || Hey my Rhode Island friends.  What rocks to do in Providence and what's the best Italian place in the city? || 27F, feels like 14F....Ah!  It's like being in Ithaca again!  It feels wonderful!  And yes, *PROPNAME*, I am crazy. || ""I love her better than anybody here, and see her seldomer.  So it often happens in the world.""-*PROPNAME* || Geez 18th Century Britons, if you love *PROPNAME* the Great so much, why don't you just marry him? || is ready to begin his day fueled with the power of french toast!  Readings: prepare to be read... || gazed upon the face of the Savior of the Monkeys and wept from the beauty of the sight. || wonders whether Professor *PROPNAME* would let him write a term paper on fanfictions using theories from the readings... || All three of my sidebar ads are currently about meeting girls.  I think Facebook pities me...  :( || Just did the research and writing for his 12 page term paper in 48 hours.  Revision time! || is glad *PROPNAME* has taken responsibility for what happened.  Don't worry, *PROPNAME*, I'm not mad at you! || wants a cottage cheese and pastrami sandwich on banana bread, even if it severely ruins your reputation! || leaves for Chicago tomorrow.  Can't wait!  Now if only the magical packing fairy would visit me... || Good morning!  And in case I don't see ya, good afternoon, good evening, and good night! || just found out Megas XLR is on iTunes!  Life just got a little bit more awesome. || didn't know the chemicals in jalapeno peppers could make your bare skin feel kinda burny.  Huh. || And now all I have to do is pack!  Hooray!  One quarter down, two to go! || is my name and I'm here to say, I have the symptoms of an awesome day!",low,low,high,low,high,00101
0e09a1e89675e72bc2c3f2fac504fced,"Thanks everyone for all the texts etc...  Finally feeling human again!  I don't think I've ever been so sick.  Went out for the first time in 12 days this morning! Talk about cabin fever...  Back to work on Wednesday - am even looking forward to it! || I haven't opened the blinds yet but from the sound of the wind and the rain I think that the world may be about to end... || Typical, just when I'm finally able to go out again it's blowing a gale and bloody raining... || is sick in bed.  Coughing like and old hag and looking decidedly ropey : ( || If you can't walk in heels take a taxi... Coco Chanel || Just bought a cute pair of purple pumps : ) || I've finally arrived creaking into the facebook generation!  Hello everyone || Not yet - going to movies tonight...",low,high,low,high,high,01011
0ea88660e23db79e2a3c897a5490d0df,"is wondering how many people know that the United States' Independence Day is actually the day that they published the Declaration of Independence, not the day they signed it into law. || wishes that someone would ask her what she wanted to do for once, instead of having everyone just tell her what they want her to do. : // || ""I think we should give our new logo to U of M, it should probably be able to coach their football team better than RichRod."" LOL... seriously || Going off to kick my own ass at the gym once more.... For better or worse, this type of masochism is highly addictive || needs to just calm down, take things one step at a time and remember that its her life and nobody else's. || is excited! I just bought tickets for the Izzone Reunion game.... going back to relive the good ol' days! || ""Only two things are infinite, the universe and human stupidity, and I'm not sure about the former."" -Einstein || is excited for the long weekend and the first football game of the season! Go State!! || ""MSU caught a wolverine. They hit it with a shovel and painted it GREEN!"" Lol! || I seriously wonder why her body decides now of all times to get sick. || cannot express how glad she is that it is finally friday. || is hoping this week will be better than the last. || is glad the week is pretty much half over. || it will be a long week.... || R.I.P. *PROPNAME*, you will be missed... || Whats with all this white stuff??",high,low,low,high,low,10010
