text,cEXT,cNEU,cAGR,cCON,cOPN,label
"is in Kuwait, soon to be at FOB Warhorse Iraq",low,low,low,high,low,00010
"grrrr bloody personal statement - have spent about 4 hours on it now n still have to get rid of 3 lines - its takin just as long to delete parts as it did to write the whole thing :( :( || BYE PPL! spt has again been amaze n cant wait till next year! Especially bye to *PROPNAME*, *PROPNAME*, *PROPNAME*, n *PROPNAME* - though im sure ill see u all again at some point! Have a great holiday!!! xxxx || My party was brilliant so thanku everyne who came :) - thanx also too everyone who gave me a gift or card they are all amazing and very lovely, so cheers :) xxx || really hopin this campin thing isnt goin to be as bad as im imaginin - no msn, n minimal hygiene *hides* bye ppl see u in 3 days! || is gettin rather annoyed at her innability to concentrate n get this one piece of business work finnished grrr - is resisting goin on msn though || n now its all over :( - cant get seasons of love out my head though lol  was a pretty gd night tbh :) || ive come to the conclusion that some people are really just not worth it - grow up n learn to forgive xxx || Not really sure y everyone was so dissapointed by the HP film - i thought it was rather gd :D || Well done!! everyones done soo well so far n talk about energy :D - just 1 show left || is very happy - for myself n for charlotte woop :D  p.s. cheers for the car lol :P || wow y do i always seem to have massive convos over the most simplest of things lol || 2 sleepovers in 2 days - both amazin but am now shattered :P good times :D || is fed up with messin with the relationship status n is goin to upload pics :D || facebook is all changed - i swear it wasnt that long ago i came on here! || had fun last night - was a gd party n other stuff etc etc :P || Ohhh theres so many gd things to look forward tooo - cant wait!   :D || Thanku sooooo much everyone for my birthday comments - im very happy :) xxxx || eatin out of date chicken n out of date cucumber  :S  oh dear || ppl please stop sendin messages - ur ovloadin facebook :P ahhh its gay || was pretty awesome 2night guys :) - cheers n yay for cars :P || im in college yet im onb facebook - oh medias great :D || wats better than a cookie?... a GIANT cookie loool mmm yum :) || today was gd fun - was kl seein ppl :D || mi novio aprende español - que bonito impresionante :) || oh cómo me gusta cantar y hablar español || feels like sleepin all the way to monday || Wooo - i am so very happy :D || yayness - i am happy :) :) || bubbles n apple 2gether again woop :D",high,high,high,high,high,11111
"I have no phone!  The iPhone 3.1 OS upgrade broke my phone. || what is this, horseville?  because i'm surrounded by naysayers! || My iPhone is down again",low,high,low,high,low,01010
"now knows that *PROPNAME* in his underwear is not enough to carry a movie for me anymore.  I don't blame the writers as much as I blame the director for not putting him in briefs. || now knows that *PROPNAME* in his underwear is not enough to carry a movie for me anymore.  I don't blame the writers as much as I blame the director for not putting him in briefs. || killed tonight!  as soon as the powers that be crack open the door, *PROPNAME* is busting through that mofo!  Thanks for the support.  See you all at the Downtown Comedy Club Friday and Saturday. || was ready to run around aimlessly in the City today but the rain is seeing that that doesn't happen.  I am glad to live in Cali more and more on days like this. || is hosting the preshow at the Downtown Comedy Club this Friday, next Friday and next Saturday.  It's ladies' month at the comedy club but you can hear your boy bring them out! || cuts with his right hand and eats with his left.  So, now that he has almost cut off his left index finger, he is finding it slightly challenging to eat his dinner. || thanks you all for the love so far.  Please keep it up and watch my shit!  i will post part 3 tonight.  put the kids to bed before you watch it. || wants to see all your asses who are in LA at the Pig N Whistle this Tuesday at 7:30 pm.  6714 Hollywood Blvd. $10. I am HOSTING THE MOTHERFUCKING SHOW. || y'all made it happen.  got the numbers in the triple digits in under 2 days!  the second clip is gonna be up within an hour!!  get at me. || is at the Underground Comedy Lounge in Downtown LA this Wednesday at 8 and the Downtown comedy Club this Friday and Saturday at 9pm.  See you all there! || learned two very important life mantras: 1. Treat others as THEY want to be treated, not as you want to be treated yourself.  2. Fight principles, not opponents. || had another solid show at the DTCC.  Love to *PROPNAME* and *PROPNAME* (and Mo in her absence) and all my funny buddies who also took the stage. || is hosting *PROPNAME*'s Room at the Comic Strip Live this Friday at 6!  Come see me and my superfriends rock the joint and preparty with us! || is back at it again at the PIG N WHISTLE!!! 7:30pm.  $5 + 1 drink.  Funny shit.  Be there and watch me do my thing. || would like to meet the man who thought that 8am was an acceptable time to start a meeting on Saturday.  (By meet, I mean shank). || got a new blackberry to hold him over until he can get the droid.  not everyone's phone numbers are making the switch.  just saying... || wants you all to come see him tonight at the Downtown Comedy Club.  I'm bringin the ladies up proper!  See you at 8 downtown! || has one final part of his routine to release.  He will try to get to that sometime tomorrow.  Keep watching the other stuff though! || is telling jokes tomorrow night at the Pig N Whistle in Hollywood.  7:30pm.  $10 cover and no drink minimum.  Be effing there or else. || is not participating in society today.  If that is a problem, you are free to leave a message with the receptionist I don't have. || is coming to New York City in late October.  Shout out to KWeeze and the kids from the Comic Strip!  Get at me. || almost sliced his finger to the white meat.  APparently OJ's knife techniques don't work on pepper jack cheese, only on white girls (allegedly). || SAT proctor by day//stand-up comic by night.  Come to the Downtown Comedy Club tonight and see me and my friends put in work! || is diggin ""Who I Am"" by *PROPNAME* and the Administration.   It's a surprisingly mature and grown up album and the guitars are insane. || saw *PROPNAME* yesterday.  More importantly, he saw a bum scream,  ""If you ever touched my sister I'd fuck you up"" to *PROPNAME* yesterday. || reminds all y'all SoCal folk to bring ya asses to the Pig N Whistle tomorrow.   7:30.  I am hosting.  6714 Hollywood Blvd. || had a solid set tonight at Wild Wednesdays.  Get ready for the long version Friday and Saturday at the Downtown Comedy Club! || will post part 2 of his set after his views are in the triple digits.  y'all don't wanna miss this next bit! || put in work again last night at the Pig N Whistle. Thakns to those who came.  Next week, he should be hosting. || is sick of people having good Mondays.  Get the memo people -- you're supposed to be cursing the skies! ...God bless. || remembers with gratitude a specific Thanksgiving involving two cool kids from Humboldt County in New Jersey and Massachusetts.  Blessings to all. || has heard *PROPNAME*'s tragic call to keep my shit together and live life properly. Love those you have and avoid drama. || is standing up to begin the year.  See you all at the Downtown Comedy Club in an hour.  Ready? Go. || needs to find someone to twist his hair and start his dreads.  anyone in the LA area worthy of recommendation? || heard that *PROPNAME* is headed back to the WWE temporarily and literally almost peed in his pants with Glee.  ahhhhhhhhhhhhhhhhhhhhhhhh || wtf is up with the mlb playoffs?  every team that advanced has a ridiculous 9th inning comeback story.  wow! || is trying to figure out the tornado winds outside right now.  This is LA people.  Let us not forget. || is holding out hope that the steelers can sneak into the playoffs even though they clearly don't deserve it. || wants a Droid but has to wait almost a year for the new every two to kick in. || is expecting everyone in LA at the Downtown Comedy Club tonight and//or tomorrow night for these jokes, yo. || is headed to new York City tomorrow!  Gladys's room stand up!  i will see you all on Friday! || is at the Unerground Comedy Lounge tonight in downtown LA.   8pm.  Come if you can stand to laugh. || is taking suggestions for blog post for the new Planet Jules website.  What do y'all want to see//hear? || needs thirteen more of you motherfuckers to watch my new video before you get the new jokes.  www.youtube.com//JulesM35 || really thought he lived in Los Angeles but, judging from the HAIL OUTSIDE, he was obviously mistaken. || enjoyed himself at Wild Wednesdays.  Big ups to Martini and *PROPNAME*.  Let's hope they invite me back. || can give the Dodgers his full attention now that he is marginally satisfied by a Laker victory. || wants you to come tomorrow night at 7:30pm to the Downtown Comedy Club and hear these jokes!! || so Tiger Woods was in a car accident today.  Driver was always his least reliable asset. || is really just trying to get through this last hard week of work before winter vacation.",low,low,low,low,high,00001
"longest day ever?  Full day in hawaii + red eye flight to LA followed by 15 hours of rehearsal for The Sing-Off.... it's time to SLEEP! || is speechless from the flowers sitting on my desk.  can't stop smiling.  I honestly don't know how I got so lucky || wishes she could give her dog a huge hug right now.  Dog lovers: read ""The Art of Racing in the Rain"" || is back in LA! back at work! back to 75 degrees and sunny!  and yet, missing the single-digit temperatures of chicago.... || in the studio.  listening to amazing musicians record an amazing film score. so proud of my genius composer boyfriend! || Wow, I am blown away by how supportive everyone is!! THANK YOU! 2nd episode tonight at 8 :) || is drinking tea and Emergen-C like it's nobody's business.  I refuse to be sick any longer!! || hey friends! did anyone leave a fake (but extremely real looking) gun in my car? || Tonight! NBC at 8 pm! The Sing-Off is ON and I am freakin excited! || prefers swimming in Lake Tahoe to staring at it on her computer desktop :) || is having a little bit of a post-haircut freak-out. (it's so short!! ah!) || woke up in Chicago :) Happy, healthy, wonderful new year, everyone!! || MAUI. so happy and warm and thankful :) || family in LA! let the restaurant adventures begin! || has a crush on the birthday boy...",high,low,high,high,high,10111
"the Leonid meteor shower, with up to 5000 meteors a night this year, is peaking Monday night from roughly 11 pm until 4 am on Tuesday  :-D || spent the evening in an awesome blanket fort, has a thanksgiving potluck tonight, birthday dinner tomorrow, and crazy Canadian adventure over the weekend :D || While we might get two, the west coast will get 6 to 9, and my jealousy of Lake Effect Snows grows ever greater. || Should get in to Ithaca sometime before morning, and spend the rest of the weekend with amazing people and eccentric 3D models. || is Monsterballin' (*PROPNAME* is awesome!), then off to a weekend of rockin' out with siblings and relaxing in giant blanket forts. || passed a family of ducks, two squirrels, a chipmunk, a raccoon, and a bassoonist on his way to the laundry room. || is full up of memories of forested shrines, crashing beaches, and one very long, very windy road. || is always surprised at how many building materials are made from cyanide, formaldehyde, and uric acid. || Thank you, all, for you birthday wishes, and may the holiday bring you peace. || has had an amazing and adventurous holiday, full of games and leftovers and hitchhiking. || spent Monday night in a plie of leaves, 150 feet above Lake Superior. || is on his way to a wedding in the beautiful Peace Garden State. || will be fighting with computers continuously for at least the next week. || , unexpectedly, really enjoys waking up insanely early to work. || is watching the Perseid meteor shower the next two nights. || is settling down for the end of an amazing summer. || was chased by veloceraptors for a good hour, at least. || just wants to be settled in a great many things. || is well and festive and taking advantage of summer. || prioritizes the human over the applied, with mixed results. || is disorganized and excited for a weekend wedding adventure || is jittery over tchnological complexity and impending deadlines. || is spending the holiday drifting down the Huron. || is water-shedding it up and bonfireing it down. || needs to work on discipline, decisiveness, and time. || needs to take fewer joys for granted || has three bucks, two bags, one me. || celebrated dusk with the bats of *PROPNAME* || is looking through West to East. || in the final throes of Archland || is designing a mausoleum.  Go Halloween. || is work, school, firepit, Manhattan, school. || grows less responsible with time.",low,low,high,high,high,00111
"Last night was amazing! Not only did I see *PROPNAME* and *PROPNAME*'s LAST performance of RENT, but we also ended the night at 3 Fires Lounge were the whole cast was celebrating!",high,high,low,high,high,11011
"i won the midna game twice, and she doesnt die, she only gets like in a shoc, but she ends up alive :), anyway, im so happy to talk to u, how is everything going on there? how are neftali, stephany, lewis, andre and everybody else? || No pueo creer q todos se metan tanto a facebook! Y yo q pense q yo era un viciao execivo! haha... XDXD || Me voi a Algarrobo x 2 semanas, asi q chaoo! Pasenlo super bien n sus vacaciones XD || POR FIN VACACIONES!!!!! no poo ser ma feliz XDXD ... :O despues viene media!! || Q lo pased dm bkn n las vacaciones!! Yo pronto m desaparesco d fb... || Q lo pased dm bkn n las vacaciones!! Acuerdate Coni del desafio XD... || Hoidia celebro mi pertenencia a mas de 100 grupos! :D || Wiiiii, ahora soy hermano de la *PROPNAME*!!! XDXD || plis entren al grupo del eski!!!!!!! !! || En Viña, vuelvo el 15, chaoo :D",low,low,high,high,high,00111
"has beat the new Kingdom Hearts, and based on when the other games came out relative to Japan, the new one should probably be out in April or May. || has the flu and is under quarantine.  No school, no computer.  Stuck in bed. || I'm flu free. Anyone wanna do something, cause i'm really bored. || ""Friends, you shall drip rubies. You'll soon drip precious rubies."" || is completely disappointed with the *PROPNAME* movie. || is losing his fricken voice. || is losing his fricking voice.",low,high,low,low,high,01001
"....Soy un aprensivo, me sigue la enfermedad, soy un tío vivo, soy un tipo de verdad. Soy caro cuando hay vicio, soy igual desde el principio y hasta el final es lo que tengo, es lo que hay, tengo una paja mental, que ya no sé de qué va.... || Yuppie (short for ""young urban professional"" or ""young upwardly-mobile professional"") [1] is a 1980s and early 1990s term for financially secure, upper-middle class young people in their 20s and early 30s.  [2]. Although its first usage was as a media catchphrase, it eventually became somewhat derogatory in nature. || Press on- nothing can take the place of persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. Perseverance and determination alone are omnipotent. *PROPNAME* || ""Self-observation brings man to the realization of the necessity of self-change. And in observing himself a man notices that self-observation itself brings about certain changes in his inner processes. He begins to understand that self-observation is an instrument of self-change, a means of awakening. ---alguien || I, not events, have the power to make me happy or unhappy today. I can choose which it shall be. Yesterday is dead, tomorrow hasn't arrived yet. I have just one day, today, and I'm going to be happy in it. -----Grouch Marx || It is not because the truth is too difficult to see that we make mistakes... we make mistakes because the easiest and most comfortable course for us is to seek insight where it accords with our emotions - especially selfish ones. *PROPNAME* || It is only too true that a lot of artists are mentally ill- it's a life which, to put it mildly, makes one an outsider. I'm all right when I completely immerse myself in work, but I'll always remain half crazy. *PROPNAME* || The creative is the place where no one else has ever been. You have to leave the city of your comfort and go into the wilderness of your intuition. What you'll discover will be wonderful. What you'll discover is yourself.     -*PROPNAME* || To be nobody but yourself in a world which is doing its best, night and day, to make you everybody else means to fight the hardest battle which any human being can fight; and never stop fighting. ~e.e. cummings || o be nobody but yourself in a world which is doing its best, night and day, to make you everybody else means to fight the hardest battle which any human being can fight; and never stop fighting.   ~e.e. cummings || Men are like a fine wine. They all start out like grapes, and it's our job to stomp on them and keep them in the dark until they mature into something you'd like to have dinner with.  *PROPNAME* quotes || ""Hippy is an establishment label for a profound, invisible, underground, evolutionary process. For every visible hippy, barefoot, beflowered, beaded, there are a thousand invisible members of the turned-on underground. Persons whose lives are tuned in to  || I do not fear failure. I only fear the ""slowing up"" of the engine inside of me which is pounding, saying, ""Keep going, someone must be on top, why not you?"" ---*PROPNAME* || Disobedience, in the eyes of anyone who has read history, is man's original virtue. It is through disobedience that progress has been made, through disobedience and through rebellion. --oscar wilde || ...Los amorosos andan como locos  porque están solos, solos, solos,  entregándose, dándose a cada rato,  llorando porque no salvan al amor.... -*PROPNAME* (se me había olvidado la poesía, gracias jess) || HOY ArTCitY TOUR pasa por CasaTripartito, nuevas prendas Tripartito+performance por la PieldeNaranjayLaQuince + EXPO CARLOS DE PAZ celebrando 15 años de unión con *PROPNAME* Galería.... Cierre en el Bar Steinvorth! || whom that i know and have not seen in agesss lives in NY city???? flying in this coming saturday and shall be staying for a week!! :) || If one dream should fall and break into a thousand pieces, never be afraid to pick one of those pieces up and begin again. --*PROPNAME*, || dem gracias a todos los que vinieron, me ayudaron dem!!!! *PROPNAME*, *PROPNAME*, *PROPNAME* y *PROPNAME* gratcie por tocar  y poner todO! son exitosos... || Follow your heart, but be quiet for a while first. Ask questions, then feel the answer. Learn to trust your heart. || No soporto al artista cuya principal motivación sea la provocación. Creo que los grandes provocadores lo son sin proponérselo...         -Pedro Almodovar || You can't always get what you want. But if you try, sometimes you'll find what you need. -Rolling Stones || ....Que no te falte capacidad, para discernir el mas aca, del confuso mas alla, que es realidad aparte.....  --(bunbury) || TALLER TRIPARTITO PRENDAS NUEVAS A LA VENTA.... vestidos, camisas y pantalones! ABIERTO DE 11am - 8pm LUNES - SABADO! || Insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule. || en montevideo donde rodri que es un amor.... a ver a dani y ern.... con los umpis :) || Feelings are not supposed to be logical. Dangerous is the man who has rationalized his emotions. *PROPNAME* || Life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are. || may you be in heaven half an hour before the devil know your dead... || may you be in heaven half an hour before the devil knows your dead... || The photograph should be more interesting or more beautiful than what was photographed...  ---*PROPNAME*. || Thoughts are the shadows of our feelings - always darker, emptier and simpler. -Nietzsche || QUIERO Nicaragua y el ghetto otra vezz!!!! sonambulear por San Juan del Sur... || By allowing all of life's colors to penetrate us, we become more integrated... || Everything is fine until it isnt. And then you deal with it. || necesito TODOS los negativos POSIBLES de fotos... si tienen plzzzz démenlos!! || últimos días en buenos aires..... jardínes, warhol, cuero, y más carne! || Distance tests a horse's strength. Time reveals a person's character.... || We are drowning in information but starved for knowledge. -*PROPNAME* || Be the change you want to see in the world. || Morality, like art, means drawing a line someplace. ---Oscar Wilde || Colors, like features, follow the changes of the emotions. || 14 de marzo: GAURA MANTRA FEST: JACOB KARPIO GALERIA || MIL gratci a TODOS por las congratulations :) || whitney museum.... media biblioteca... mañana MOMA, Union Square... || MOMA al fin... union square and such...shoe shopping... || 15 minutes of fame: 18 de *PROPNAME* || feliz navidad a todossss.... @ aeropuerto Lima || jazz is so pleasant :).... bliss || feria del queso en Turrialba...arooo",high,high,low,high,high,11011
