gamma,trait,k,n_queries,mean_match_rate,std_match_rate,hit_rate
0.1,Openness to Experience,5,50,0.54,0.2272,0.98
0.1,Conscientiousness,5,50,0.52,0.2298,0.96
0.1,Extraversion,5,50,0.556,0.2539,0.98
0.1,Agreeableness,5,50,0.452,0.2766,0.88
0.1,Neuroticism,5,50,0.52,0.2592,0.98
0.3,Openness to Experience,5,50,0.544,0.2531,0.96
0.3,Conscientiousness,5,50,0.528,0.2425,0.94
0.3,Extraversion,5,50,0.58,0.2835,0.96
0.3,Agreeableness,5,50,0.444,0.2808,0.92
0.3,Neuroticism,5,50,0.52,0.2857,0.96
0.5,Openness to Experience,5,50,0.572,0.2967,0.92
0.5,Conscientiousness,5,50,0.532,0.3265,0.86
0.5,Extraversion,5,50,0.572,0.32,0.88
0.5,Agreeableness,5,50,0.46,0.2946,0.88
0.5,Neuroticism,5,50,0.508,0.3423,0.84
0.7,Openness to Experience,5,50,0.6,0.3666,0.86
0.7,Conscientiousness,5,50,0.512,0.3421,0.86
0.7,Extraversion,5,50,0.572,0.3731,0.82
0.7,Agreeableness,5,50,0.476,0.3507,0.8
0.7,Neuroticism,5,50,0.52,0.3752,0.8
0.9,Openness to Experience,5,50,0.604,0.4205,0.76
0.9,Conscientiousness,5,50,0.472,0.3595,0.76
0.9,Extraversion,5,50,0.576,0.3702,0.82
0.9,Agreeableness,5,50,0.5,0.3842,0.78
0.9,Neuroticism,5,50,0.54,0.4005,0.78
