trait,k,n_queries,mean_match_rate,std_match_rate,hit_rate
Openness to Experience,3,247,0.5357624831309041,0.4128540180401757,0.7044534412955465
Conscientiousness,3,247,0.582995951417004,0.3688484023731519,0.8178137651821862
Extraversion,3,247,0.5303643724696356,0.3521672536808853,0.8016194331983806
Agreeableness,3,247,0.5587044534412956,0.3888279381214107,0.7732793522267206
Neuroticism,3,247,0.5614035087719299,0.3895672888453236,0.7611336032388664
Openness to Experience,5,247,0.5376518218623483,0.39939143005266753,0.7692307692307693
Conscientiousness,5,247,0.5813765182186236,0.33009832901277614,0.8866396761133604
Extraversion,5,247,0.5392712550607287,0.31177348796395477,0.8866396761133604
Agreeableness,5,247,0.5481781376518219,0.3552764799052417,0.8461538461538461
Neuroticism,5,247,0.5676113360323887,0.36027930397893093,0.8380566801619433
