gamma,beta,trait,k,n_queries,mean_match_rate,std_match_rate,hit_rate
0.0,1.0,Openness to Experience,3,247,0.5168690958164642,0.2885718077311454,0.8906882591093117
0.0,1.0,Conscientiousness,3,247,0.5155195681511472,0.290201796558015,0.8825910931174089
0.0,1.0,Extraversion,3,247,0.5209176788124157,0.28039664722127056,0.8987854251012146
0.0,1.0,Agreeableness,3,247,0.5357624831309041,0.2820997059207324,0.9190283400809717
0.0,1.0,Neuroticism,3,247,0.50472334682861,0.31437333137404816,0.8461538461538461
0.0,1.0,Openness to Experience,5,247,0.5174089068825911,0.24408087280914642,0.9635627530364372
0.0,1.0,Conscientiousness,5,247,0.5303643724696356,0.2269518774588483,0.97165991902834
0.0,1.0,Extraversion,5,247,0.5141700404858299,0.22853524837582667,0.9635627530364372
0.0,1.0,Agreeableness,5,247,0.5400809716599191,0.2166472382290027,0.9878542510121457
0.0,1.0,Neuroticism,5,247,0.5117408906882591,0.25543446688037563,0.9433198380566802
0.2,0.8,Openness to Experience,3,247,0.5465587044534413,0.42784922473272574,0.6842105263157895
0.2,0.8,Conscientiousness,3,247,0.5614035087719298,0.40206866173655154,0.7489878542510121
0.2,0.8,Extraversion,3,247,0.5708502024291497,0.3867992077723756,0.7854251012145749
0.2,0.8,Agreeableness,3,247,0.572199730094467,0.3946116737545342,0.7773279352226721
0.2,0.8,Neuroticism,3,247,0.5735492577597839,0.4022679163735702,0.757085020242915
0.2,0.8,Openness to Experience,5,247,0.5497975708502024,0.4167421841993743,0.728744939271255
0.2,0.8,Conscientiousness,5,247,0.5708502024291497,0.37637801577545454,0.8178137651821862
0.2,0.8,Extraversion,5,247,0.5651821862348176,0.34606268184194816,0.8582995951417004
0.2,0.8,Agreeableness,5,247,0.5619433198380567,0.3714631710891651,0.8259109311740891
0.2,0.8,Neuroticism,5,247,0.5668016194331984,0.3788314297192439,0.805668016194332
0.4,0.6,Openness to Experience,3,247,0.5546558704453441,0.4373011079253668,0.6680161943319838
0.4,0.6,Conscientiousness,3,247,0.5573549257759784,0.40378174455956944,0.7449392712550608
0.4,0.6,Extraversion,3,247,0.5560053981106613,0.3762980700026636,0.7894736842105263
0.4,0.6,Agreeableness,3,247,0.5681511470985156,0.4087576501556423,0.7489878542510121
0.4,0.6,Neuroticism,3,247,0.5775978407557355,0.38898715757499064,0.7813765182186235
0.4,0.6,Openness to Experience,5,247,0.5530364372469636,0.42823062514018606,0.7165991902834008
0.4,0.6,Conscientiousness,5,247,0.5619433198380566,0.37059022409700193,0.8340080971659919
0.4,0.6,Extraversion,5,247,0.557085020242915,0.35073722942908514,0.8502024291497976
0.4,0.6,Agreeableness,5,247,0.5659919028340081,0.37553919122371526,0.8259109311740891
0.4,0.6,Neuroticism,5,247,0.5797570850202429,0.36716875746432953,0.8218623481781376
0.6,0.4,Openness to Experience,3,247,0.5573549257759784,0.4369553016684013,0.6720647773279352
0.6,0.4,Conscientiousness,3,247,0.564102564102564,0.3971419399594519,0.7651821862348178
0.6,0.4,Extraversion,3,247,0.5546558704453441,0.3847692473452171,0.7732793522267206
0.6,0.4,Agreeableness,3,247,0.5546558704453441,0.416219361381141,0.7206477732793523
0.6,0.4,Neuroticism,3,247,0.5748987854251012,0.36445742999097686,0.8218623481781376
0.6,0.4,Openness to Experience,5,247,0.5562753036437247,0.4315857835707444,0.7206477732793523
0.6,0.4,Conscientiousness,5,247,0.5692307692307693,0.37409082145513695,0.8340080971659919
0.6,0.4,Extraversion,5,247,0.5595141700404858,0.3594594552959195,0.8380566801619433
0.6,0.4,Agreeableness,5,247,0.5651821862348179,0.3833612623837142,0.8137651821862348
0.6,0.4,Neuroticism,5,247,0.5805668016194332,0.3456304492964465,0.8704453441295547
0.8,0.2,Openness to Experience,3,247,0.5695006747638327,0.43415376799476485,0.6882591093117408
0.8,0.2,Conscientiousness,3,247,0.572199730094467,0.3968850504664767,0.7692307692307693
0.8,0.2,Extraversion,3,247,0.5492577597840755,0.38315654862911397,0.7692307692307693
0.8,0.2,Agreeableness,3,247,0.5546558704453441,0.40968334860872274,0.7327935222672065
0.8,0.2,Neuroticism,3,247,0.573549257759784,0.35090314447784926,0.8421052631578947
0.8,0.2,Openness to Experience,5,247,0.565991902834008,0.4305835038416936,0.728744939271255
0.8,0.2,Conscientiousness,5,247,0.5700404858299595,0.3726385816457255,0.8421052631578947
0.8,0.2,Extraversion,5,247,0.5562753036437246,0.3577243260370659,0.8340080971659919
0.8,0.2,Agreeableness,5,247,0.5611336032388665,0.3852906920402394,0.805668016194332
0.8,0.2,Neuroticism,5,247,0.5846153846153845,0.33464912110633244,0.8825910931174089
1.0,0.0,Openness to Experience,3,247,0.5802968960863697,0.46342473493775566,0.6437246963562753
1.0,0.0,Conscientiousness,3,247,0.5587044534412954,0.39570857474284804,0.7530364372469636
1.0,0.0,Extraversion,3,247,0.5384615384615384,0.3808633907122836,0.7692307692307693
1.0,0.0,Agreeableness,3,247,0.5411605937921727,0.41125845379769427,0.708502024291498
1.0,0.0,Neuroticism,3,247,0.5964912280701756,0.3466001127195118,0.854251012145749
1.0,0.0,Openness to Experience,5,247,0.5676113360323887,0.4411105358192724,0.6963562753036437
1.0,0.0,Conscientiousness,5,247,0.5732793522267208,0.3463145683651333,0.8906882591093117
1.0,0.0,Extraversion,5,247,0.5506072874493927,0.36082120072725976,0.8380566801619433
1.0,0.0,Agreeableness,5,247,0.5473684210526315,0.3800478846544214,0.8097165991902834
1.0,0.0,Neuroticism,5,247,0.5854251012145748,0.3149932867633236,0.8987854251012146
