trait,k,n_queries,mean_match_rate,std_match_rate,hit_rate
Openness to Experience,3,247,0.52361673414305,0.3106377007584142,0.8582995951417004
Conscientiousness,3,247,0.5209176788124157,0.30498728094186567,0.8704453441295547
Extraversion,3,247,0.5209176788124156,0.31371221238195535,0.8582995951417004
Agreeableness,3,247,0.5465587044534413,0.34128911636433545,0.8259109311740891
Neuroticism,3,247,0.5573549257759783,0.34620053718823274,0.8299595141700404
Openness to Experience,5,247,0.5368421052631579,0.26916226945092564,0.9311740890688259
Conscientiousness,5,247,0.5012145748987855,0.2656413492422602,0.9230769230769231
Extraversion,5,247,0.5336032388663968,0.26534747761407007,0.9352226720647774
Agreeableness,5,247,0.5538461538461538,0.2856475430342127,0.9433198380566802
Neuroticism,5,247,0.5708502024291497,0.29151371977275525,0.9311740890688259
