trait,k,n_queries,mean_match_rate,std_match_rate,hit_rate
Openness to Experience,3,247,0.5020242914979757,0.29060943199598466,0.8825910931174089
Conscientiousness,3,247,0.5236167341430499,0.28018222450442065,0.9068825910931174
Extraversion,3,247,0.5452091767881242,0.314019747848831,0.8663967611336032
Agreeableness,3,247,0.5168690958164642,0.28700871608195055,0.8906882591093117
Neuroticism,3,247,0.5438596491228069,0.29040255012713767,0.8987854251012146
Openness to Experience,5,247,0.5149797570850202,0.22989678108794143,0.97165991902834
Conscientiousness,5,247,0.5109311740890689,0.21256564434952988,0.979757085020243
Extraversion,5,247,0.5311740890688259,0.23387217099317503,0.979757085020243
Agreeableness,5,247,0.5198380566801618,0.20093701071824832,0.9878542510121457
Neuroticism,5,247,0.5319838056680163,0.23583195773336338,0.9554655870445344
